[DEBUG][2025-01-12 15:51:48,391][root] Prepare the browser
[DEBUG][2025-01-12 15:51:48,722][root] The browser has been started in headless mode
[DEBUG][2025-01-12 15:51:54,606][root] The browser has been closed
[DEBUG][2025-01-12 15:51:54,693][root] Prepare the browser
[DEBUG][2025-01-12 15:51:55,090][root] The browser has been started in headless mode
[DEBUG][2025-01-12 15:52:00,829][root] The browser has been closed
[DEBUG][2025-01-12 16:20:52,027][root] Prepare the browser
[DEBUG][2025-01-12 16:20:53,086][root] The browser has been started in headless mode
[DEBUG][2025-01-12 16:22:12,195][root] Start click to alert button
[DEBUG][2025-01-12 16:22:12,197][root] Start searching elements on the page
[DEBUG][2025-01-12 16:22:12,266][root] The allert button has been clicked
[DEBUG][2025-01-12 16:22:12,697][root] The allert tab text has been pased
[DEBUG][2025-01-12 16:22:12,699][root] The alert button has been clicked
[DEBUG][2025-01-12 16:22:13,985][root] The browser has been closed
[DEBUG][2025-01-12 16:22:14,076][root] Prepare the browser
[DEBUG][2025-01-12 16:22:14,545][root] The browser has been started in headless mode
[DEBUG][2025-01-12 16:22:20,715][root] Start searching elements on the page
[DEBUG][2025-01-12 16:22:20,774][root] The allert button has been clicked
[DEBUG][2025-01-12 16:22:20,915][root] The allert tab text has been pased
[DEBUG][2025-01-12 16:22:22,192][root] The browser has been closed
[DEBUG][2025-01-12 16:22:22,276][root] Prepare the browser
[DEBUG][2025-01-12 16:22:22,672][root] The browser has been started in headless mode
[DEBUG][2025-01-12 16:22:27,621][root] The browser has been closed
[DEBUG][2025-01-12 16:22:27,705][root] Prepare the browser
[DEBUG][2025-01-12 16:22:28,097][root] The browser has been started in headless mode
[DEBUG][2025-01-12 16:22:37,024][root] The browser has been closed
[DEBUG][2025-01-12 16:22:37,109][root] Prepare the browser
[DEBUG][2025-01-12 16:22:37,501][root] The browser has been started in headless mode
[DEBUG][2025-01-12 16:22:48,468][root] The browser has been closed
[DEBUG][2025-01-12 16:22:48,553][root] Prepare the browser
[DEBUG][2025-01-12 16:22:48,928][root] The browser has been started in headless mode
[DEBUG][2025-01-12 16:22:54,132][root] The browser has been closed
[DEBUG][2025-01-12 16:22:54,218][root] Prepare the browser
[DEBUG][2025-01-12 16:22:54,605][root] The browser has been started in headless mode
[DEBUG][2025-01-12 16:22:57,069][root] The browser has been closed
[DEBUG][2025-01-12 16:22:57,149][root] Prepare the browser
[DEBUG][2025-01-12 16:22:57,487][root] The browser has been started in headless mode
[DEBUG][2025-01-12 16:24:16,719][root] The browser has been closed
[DEBUG][2025-01-12 16:24:16,804][root] Prepare the browser
[DEBUG][2025-01-12 16:24:17,259][root] The browser has been started in headless mode
[DEBUG][2025-01-12 16:24:21,493][root] The browser has been closed
[DEBUG][2025-01-12 16:24:21,576][root] Prepare the browser
[DEBUG][2025-01-12 16:24:21,968][root] The browser has been started in headless mode
[DEBUG][2025-01-12 16:24:27,140][root] The browser has been closed
[DEBUG][2025-01-12 16:24:27,226][root] Prepare the browser
[DEBUG][2025-01-12 16:24:27,624][root] The browser has been started in headless mode
[DEBUG][2025-01-12 16:24:39,181][root] The browser has been closed
[DEBUG][2025-01-12 16:24:39,273][root] Prepare the browser
[DEBUG][2025-01-12 16:24:39,684][root] The browser has been started in headless mode
[DEBUG][2025-01-12 16:24:42,626][root] The browser has been closed
[DEBUG][2025-01-12 16:24:42,708][root] Prepare the browser
[DEBUG][2025-01-12 16:24:43,049][root] The browser has been started in headless mode
[DEBUG][2025-01-12 16:24:47,994][root] The browser has been closed
[DEBUG][2025-01-12 16:24:48,079][root] Prepare the browser
[DEBUG][2025-01-12 16:24:48,479][root] The browser has been started in headless mode
[DEBUG][2025-01-12 16:24:51,234][root] The browser has been closed
[DEBUG][2025-01-12 16:24:51,314][root] Prepare the browser
[DEBUG][2025-01-12 16:24:51,649][root] The browser has been started in headless mode
[DEBUG][2025-01-12 16:24:56,246][root] The browser has been closed
[DEBUG][2025-01-12 16:24:56,331][root] Prepare the browser
[DEBUG][2025-01-12 16:24:56,724][root] The browser has been started in headless mode
[DEBUG][2025-01-12 16:25:02,861][root] The browser has been closed
[DEBUG][2025-01-12 16:25:02,946][root] Prepare the browser
[DEBUG][2025-01-12 16:25:03,280][root] The browser has been started in headless mode
[DEBUG][2025-01-12 16:25:08,410][root] The browser has been closed
[DEBUG][2025-01-12 16:25:08,497][root] Prepare the browser
[DEBUG][2025-01-12 16:25:08,884][root] The browser has been started in headless mode
[DEBUG][2025-01-12 16:25:17,758][root] The browser has been closed
[DEBUG][2025-01-12 16:25:17,844][root] Prepare the browser
[DEBUG][2025-01-12 16:25:18,232][root] The browser has been started in headless mode
[DEBUG][2025-01-12 16:25:21,201][root] The browser has been closed
[DEBUG][2025-01-12 16:25:21,283][root] Prepare the browser
[DEBUG][2025-01-12 16:25:21,676][root] The browser has been started in headless mode
[DEBUG][2025-01-12 16:25:24,899][root] The browser has been closed
[DEBUG][2025-01-12 16:25:24,982][root] Prepare the browser
[DEBUG][2025-01-12 16:25:25,324][root] The browser has been started in headless mode
[DEBUG][2025-01-12 16:25:29,622][root] The browser has been closed
[DEBUG][2025-01-12 16:25:29,707][root] Prepare the browser
[DEBUG][2025-01-12 16:25:30,104][root] The browser has been started in headless mode
[DEBUG][2025-01-12 16:25:35,755][root] The browser has been closed
[DEBUG][2025-01-12 16:25:35,840][root] Prepare the browser
[DEBUG][2025-01-12 16:25:36,173][root] The browser has been started in headless mode
[DEBUG][2025-01-12 16:25:47,598][root] The browser has been closed
[DEBUG][2025-01-12 16:25:47,684][root] Prepare the browser
[DEBUG][2025-01-12 16:25:48,087][root] The browser has been started in headless mode
[DEBUG][2025-01-12 16:25:51,705][root] The browser has been closed
[DEBUG][2025-01-12 16:25:51,788][root] Prepare the browser
[DEBUG][2025-01-12 16:25:52,110][root] The browser has been started in headless mode
[DEBUG][2025-01-12 16:25:54,685][root] The browser has been closed
[DEBUG][2025-01-12 16:25:54,768][root] Prepare the browser
[DEBUG][2025-01-12 16:25:55,168][root] The browser has been started in headless mode
[DEBUG][2025-01-12 16:26:00,775][root] The browser has been closed
[DEBUG][2025-01-12 16:26:00,859][root] Prepare the browser
[DEBUG][2025-01-12 16:26:01,262][root] The browser has been started in headless mode
[DEBUG][2025-01-12 16:26:08,351][root] The browser has been closed
[DEBUG][2025-01-12 16:26:08,436][root] Prepare the browser
[DEBUG][2025-01-12 16:26:08,822][root] The browser has been started in headless mode
[DEBUG][2025-01-12 16:26:18,976][root] The browser has been closed
[DEBUG][2025-01-12 16:26:19,062][root] Prepare the browser
[DEBUG][2025-01-12 16:26:19,456][root] The browser has been started in headless mode
[DEBUG][2025-01-12 16:28:52,459][root] The browser has been closed
[DEBUG][2025-01-12 16:28:52,543][root] Prepare the browser
[DEBUG][2025-01-12 16:28:53,040][root] The browser has been started in headless mode
[DEBUG][2025-01-12 16:28:57,862][root] The browser has been closed
[DEBUG][2025-01-12 16:28:57,949][root] Prepare the browser
[DEBUG][2025-01-12 16:28:58,343][root] The browser has been started in headless mode
[DEBUG][2025-01-12 16:29:03,756][root] The browser has been closed
[DEBUG][2025-01-12 16:29:03,839][root] Prepare the browser
[DEBUG][2025-01-12 16:29:04,225][root] The browser has been started in headless mode
[DEBUG][2025-01-12 16:29:04,536][root] The browser has been closed
[DEBUG][2025-01-12 16:34:55,999][root] Prepare the browser
[DEBUG][2025-01-12 16:34:56,476][root] The browser has been started in headless mode
[DEBUG][2025-01-12 16:35:00,147][root] Start click to alert button
[DEBUG][2025-01-12 16:35:00,147][root] Start searching elements on the page
[DEBUG][2025-01-12 16:35:00,203][root] The allert button has been clicked
[DEBUG][2025-01-12 16:35:00,347][root] The allert tab text has been pased
